customer_id,customer_segment,region,tenure_months,product_count,digital_logins_30d,app_sessions_change_pct,salary_inflow,salary_inflow_change_pct,avg_balance,balance_change_pct,direct_debits,complaint_count_90d,overdraft_usage_rate,card_spend_30d,open_banking_connected,churn_probability_simulated,churn_flag
C000023,Mass,West Midlands,95,1,15,0.104,1,-0.262,1335.7,-0.447,8,0,0.081,60.71,0,0.4013,0
C000024,Young professional,Wales,30,2,12,-0.208,1,0.376,300.79,0.774,3,0,0.154,947.74,0,0.1091,0
C000025,Mass,South East,48,2,7,-0.173,0,0.054,502.76,-0.138,1,0,0.071,826.94,1,0.1545,0
C000026,Mass,Wales,64,2,10,-0.192,0,0.007,367.42,-0.247,1,1,0.082,667.62,1,0.2592,0
C000027,Student,Scotland,57,4,10,-0.047,1,-0.128,2165.26,-0.685,4,0,0.125,202.45,1,0.1141,0
C000028,Mass,South East,58,1,5,-0.055,1,-0.093,547.39,0.183,7,0,0.139,1109.59,0,0.1419,0
C000029,Young professional,Scotland,68,2,13,0.434,0,-0.059,769.11,-0.066,2,0,0.283,616.05,1,0.1545,1
C000030,Mass,North West,32,4,9,0.064,1,0.004,350.0,-0.173,5,0,0.048,473.55,1,0.0794,0
C000031,Young professional,Yorkshire,110,1,9,0.177,1,-0.137,1169.32,0.233,9,0,0.128,99.41,1,0.1419,1
C000032,Mass,Yorkshire,49,1,11,0.533,1,-0.404,223.29,0.313,9,0,0.095,160.73,0,0.2592,1
C000033,Mass,Wales,6,3,6,-0.094,0,-0.339,1073.43,-0.403,6,0,0.089,244.06,1,0.4875,0
C000034,Young professional,Scotland,55,5,11,-0.15,1,-0.181,765.09,-0.111,7,0,0.194,126.4,1,0.063,0
C000035,Young professional,Wales,78,4,19,-0.121,1,-0.18,909.93,-0.118,2,0,0.195,453.22,0,0.063,0
C000036,Mass,London,106,5,9,0.436,1,0.185,182.23,-0.16,2,0,0.177,641.66,1,0.063,0
C000037,Mass,Wales,106,1,9,-0.065,1,0.084,181.87,-0.193,5,0,0.35,335.54,0,0.1419,0
C000038,Affluent,South East,72,3,6,-0.091,0,-0.302,9235.4,-0.03,0,0,0.041,599.8,1,0.2789,1
C000039,Mass,West Midlands,96,3,9,-0.364,1,-0.046,701.43,-0.215,6,0,0.212,1055.06,0,0.148,0
C000040,Young professional,North West,51,3,10,0.264,1,0.282,1658.75,0.572,5,0,0.201,705.39,0,0.0871,1
C000041,Student,Scotland,94,2,13,0.265,1,0.106,9312.73,0.067,3,0,0.331,132.88,0,0.0871,0
C000042,Student,London,100,3,13,-0.34,1,0.012,92.21,-0.196,4,0,0.255,638.07,0,0.148,1
C000043,Young professional,South East,57,2,9,-0.325,1,-0.302,1020.7,-0.558,6,1,0.033,315.06,0,0.5744,1
C000044,SME owner,South East,44,1,8,-0.237,0,-0.169,736.94,-0.119,1,0,0.086,101.98,0,0.2405,1
C000045,Affluent,Wales,9,4,12,-0.114,1,0.007,2583.86,-0.216,9,0,0.244,1587.24,0,0.0794,0
C000046,Mass,Scotland,100,1,12,0.205,1,0.262,876.87,0.025,6,0,0.505,192.12,0,0.1419,0
C000047,Young professional,London,36,2,10,-0.165,1,0.065,330.55,-0.058,4,0,0.511,186.73,0,0.1091,0
C000048,Mass,West Midlands,38,2,12,-0.278,1,-0.156,385.08,-0.352,2,0,0.345,1232.99,0,0.2497,1
C000049,Young professional,Wales,69,3,6,-0.183,0,-0.4,348.91,-0.012,2,0,0.122,471.54,0,0.2789,0
C000050,Affluent,West Midlands,37,5,6,0.388,1,-0.034,2768.53,-0.248,4,0,0.1,156.17,0,0.063,0
C000051,Student,South East,15,1,11,-0.378,0,-0.394,2025.48,-0.01,3,0,0.268,549.58,0,0.6106,0
C000052,Young professional,West Midlands,7,1,5,-0.545,1,0.098,736.71,-0.201,5,1,0.573,116.59,1,0.4256,1
C000053,SME owner,West Midlands,97,2,4,-0.029,1,-0.072,1758.8,-0.524,5,0,0.062,913.18,1,0.1545,0
C000054,Mass,Wales,53,3,12,0.257,1,0.04,2127.09,-0.268,5,0,0.197,94.97,1,0.0871,0
C000055,Mass,Yorkshire,53,1,11,0.032,0,-0.21,1096.6,0.107,2,0,0.109,263.99,1,0.4013,1
C000056,Student,Yorkshire,110,3,8,0.017,1,-0.168,96.44,-0.289,4,0,0.068,228.36,0,0.0871,0
C000057,SME owner,Scotland,22,1,7,-0.066,0,-0.329,789.54,0.195,1,0,0.262,670.74,1,0.4626,0
C000058,Student,Yorkshire,22,5,17,0.207,0,-0.324,2894.04,0.055,0,0,0.046,514.27,0,0.2592,1
C000059,Student,Scotland,40,2,19,0.147,0,0.059,820.55,0.115,1,0,0.153,136.12,0,0.1545,0
C000060,Affluent,Yorkshire,37,1,7,0.119,1,-0.097,997.64,-0.544,6,0,0.412,1589.86,1,0.2405,0
C000061,Student,Scotland,25,3,18,-0.105,1,-0.177,663.24,-0.063,6,0,0.095,90.71,0,0.1091,0
C000062,Mass,Yorkshire,71,3,9,-0.156,1,0.109,875.41,-0.057,6,0,0.091,167.04,0,0.0871,0
C000063,SME owner,South East,90,5,4,0.063,1,-0.181,303.56,-0.096,3,0,0.403,109.42,0,0.063,0
C000064,Student,London,76,5,6,0.155,1,-0.195,1306.52,-0.334,6,0,0.118,119.98,0,0.1141,0
C000065,Young professional,West Midlands,50,2,10,-0.026,0,0.072,698.17,-0.182,2,0,0.156,992.02,0,0.1545,0
C000066,Mass,West Midlands,106,2,9,-0.219,1,-0.067,424.88,-0.148,4,0,0.522,763.72,1,0.0871,0
C000067,Mass,West Midlands,9,4,13,-0.081,0,-0.003,683.9,-0.087,3,0,0.243,120.88,0,0.1419,0
C000068,Mass,Yorkshire,89,2,7,0.211,1,0.261,505.74,0.284,7,0,0.377,219.83,0,0.0871,0
C000069,Mass,West Midlands,59,2,10,0.02,1,0.087,594.23,-0.264,6,0,0.205,407.68,0,0.0871,0
C000070,SME owner,London,79,3,8,-0.097,0,-0.519,517.07,-0.422,2,1,0.218,321.04,1,0.5866,1
C000071,Mass,London,13,2,9,0.104,1,0.454,381.47,-0.478,9,0,0.081,440.94,0,0.19,1
C000072,Mass,London,62,2,6,-0.371,0,-0.043,558.81,-0.018,0,0,0.398,365.72,0,0.2497,1
C000073,Young professional,South East,22,2,13,-0.08,1,-0.004,394.43,-0.197,4,0,0.238,160.77,0,0.1091,0
C000074,Young professional,Yorkshire,78,1,10,-0.413,1,-0.146,417.21,0.003,6,0,0.032,823.84,0,0.2315,0
C000075,Student,Wales,24,2,15,-0.095,1,0.156,1733.16,-0.293,4,0,0.213,713.84,0,0.1091,0
C000076,Young professional,London,9,2,7,-0.062,0,-0.106,617.01,-0.113,1,0,0.13,324.79,0,0.19,0
C000077,Mass,Scotland,60,5,10,-0.213,0,-0.292,227.64,-0.236,3,0,0.597,652.47,0,0.2142,1
C000078,Mass,Yorkshire,6,2,11,0.391,1,0.038,648.8,0.262,5,0,0.113,323.3,0,0.1091,0
C000079,Affluent,London,8,5,9,0.104,0,-0.145,10546.02,-0.08,2,0,0.404,176.18,1,0.1419,0
C000080,Affluent,West Midlands,16,1,10,0.148,0,-0.323,1537.99,-0.493,0,0,0.214,288.88,0,0.6225,1
C000081,Young professional,Yorkshire,68,3,12,-0.704,1,0.003,383.15,0.027,7,0,0.331,177.81,0,0.148,0
C000082,Mass,South East,94,1,4,-0.006,0,-0.335,1731.51,-0.088,2,0,0.057,242.28,0,0.4013,1
C000083,Mass,London,30,2,7,-0.02,1,0.006,790.61,-0.091,4,0,0.034,726.4,0,0.1091,0
C000084,Young professional,London,55,4,10,-0.11,0,-0.239,1110.66,-0.156,0,0,0.273,109.17,1,0.2142,0
C000085,Student,Wales,103,2,15,0.078,1,-0.038,243.79,0.259,5,0,0.13,592.7,0,0.0871,0
C000086,Affluent,South East,81,2,10,-0.203,0,-0.199,494.37,-0.064,0,2,0.246,159.22,1,0.4013,0
C000087,Mass,Wales,84,1,11,-0.172,0,-0.376,582.63,-0.011,1,0,0.197,164.99,0,0.4013,0
C000088,Affluent,South East,7,2,13,-0.133,1,-0.321,2347.84,-0.185,10,0,0.421,886.51,0,0.2059,1
C000089,Young professional,South East,93,4,8,0.038,1,-0.173,887.27,-0.209,5,0,0.151,374.35,0,0.063,0
C000090,Young professional,West Midlands,27,4,4,-0.388,0,-0.253,1191.98,0.006,2,0,0.2,214.33,0,0.3894,0
C000091,Young professional,Wales,85,2,6,-0.613,1,0.006,442.84,0.219,7,0,0.262,157.5,0,0.148,0
C000092,Mass,South East,85,1,5,-0.032,1,-0.341,373.93,0.279,9,0,0.089,410.76,0,0.2592,0
C000093,Affluent,North West,18,2,15,0.145,0,-0.291,662.32,-0.326,6,0,0.284,257.69,1,0.4875,0
C000094,Student,Yorkshire,98,5,6,0.06,1,-0.073,836.03,0.041,4,0,0.289,443.02,0,0.063,0
C000095,Young professional,West Midlands,83,1,4,0.109,1,-0.055,832.93,0.217,3,0,0.197,333.98,0,0.1419,0
C000096,Mass,Wales,83,4,8,-0.119,1,-0.013,194.94,0.023,7,1,0.103,1207.77,0,0.1141,0
C000097,SME owner,Wales,80,2,5,0.434,0,-0.356,1105.52,0.305,1,0,0.277,481.98,0,0.2789,0
C000098,SME owner,Yorkshire,18,2,14,-0.237,1,-0.205,134.85,0.095,6,0,0.034,197.38,1,0.2059,0
C000099,Mass,West Midlands,29,4,11,0.283,1,0.054,2082.75,0.079,2,0,0.028,238.2,0,0.0794,0
C000100,Student,West Midlands,72,3,18,-0.063,1,0.11,1378.64,-0.237,6,0,0.095,346.06,0,0.0871,0
C000101,Young professional,Yorkshire,68,2,6,-0.514,1,0.082,943.05,0.345,6,0,0.212,206.43,1,0.148,0
C000102,Mass,Wales,16,3,12,-0.011,1,0.024,609.97,0.161,10,0,0.119,562.47,0,0.1091,0
C000103,Young professional,North West,116,1,7,0.196,1,-0.271,617.62,0.146,7,0,0.189,890.53,0,0.2592,0
C000104,Student,Scotland,108,4,13,-0.126,1,0.159,726.58,-0.165,6,0,0.044,112.24,1,0.063,0
C000105,Student,North West,37,4,14,-0.117,1,0.265,380.98,0.322,8,0,0.017,417.68,0,0.063,0
C000106,Affluent,North West,2,2,13,-0.082,0,-0.448,4425.26,-0.071,5,0,0.064,490.34,0,0.3318,0
C000107,SME owner,Scotland,44,4,6,0.09,1,-0.064,644.61,-0.079,1,1,0.104,111.36,0,0.1141,0
C000108,Affluent,South East,26,1,13,-0.067,1,0.172,3485.33,-0.019,6,0,0.383,94.0,0,0.1751,1
C000109,Young professional,Yorkshire,120,1,12,0.452,1,-0.098,773.51,0.021,8,0,0.197,162.52,0,0.1419,0
C000110,Young professional,South East,95,1,11,0.231,1,-0.487,1055.53,-0.324,1,0,0.059,534.25,1,0.4013,0
C000111,Affluent,Wales,111,2,5,0.29,1,-0.186,616.5,-0.155,4,0,0.053,204.05,0,0.0871,0
C000112,Young professional,Scotland,72,1,16,0.011,1,-0.07,1366.56,-0.069,8,0,0.285,71.18,0,0.1419,0
C000113,Young professional,London,115,1,9,0.123,1,0.15,711.93,0.383,7,0,0.396,345.19,1,0.1419,0
C000114,Young professional,North West,2,3,11,-0.24,1,-0.238,1113.21,0.262,6,0,0.282,100.9,1,0.2059,0
C000115,Affluent,North West,20,1,12,-0.195,1,-0.109,2031.0,0.037,5,0,0.123,94.55,1,0.1751,0
C000116,Student,Scotland,81,3,14,0.148,0,-0.049,969.5,0.298,1,0,0.082,287.61,0,0.1545,0
C000117,Student,Scotland,98,1,9,0.213,1,0.298,469.0,-0.053,1,0,0.44,518.71,1,0.1419,1
C000118,Mass,Scotland,110,2,14,-0.197,1,-0.133,465.5,-0.396,6,1,0.183,163.21,0,0.2592,0
C000119,Young professional,West Midlands,111,1,6,-0.157,1,0.011,1146.35,0.017,7,0,0.403,101.58,0,0.1419,0
C000120,Young professional,Wales,62,2,10,0.109,1,-0.109,420.97,0.443,4,0,0.445,159.09,1,0.0871,0
C000121,Affluent,South East,70,3,7,-0.039,1,0.254,2590.93,-0.423,8,0,0.268,210.97,0,0.1545,0
C000122,Mass,London,61,1,9,-0.253,0,-0.495,3582.87,0.144,3,0,0.306,257.23,0,0.5498,1
C000123,Mass,North West,65,1,4,0.055,1,0.091,369.57,0.241,4,0,0.41,88.17,1,0.1419,0
C000124,Young professional,Yorkshire,82,1,9,-0.027,1,-0.378,374.59,0.148,5,0,0.001,135.36,1,0.2592,0
C000125,Young professional,London,44,3,12,-0.212,1,0.21,482.9,-0.072,9,0,0.065,200.77,0,0.0871,0
C000126,Mass,Wales,86,3,6,0.056,1,0.076,474.99,-0.133,8,0,0.203,471.61,1,0.0871,0
C000127,Mass,Wales,115,1,7,-0.276,1,0.314,418.23,-0.238,6,0,0.265,115.11,0,0.2315,0
C000128,Young professional,London,62,4,5,-0.102,0,-0.063,252.89,0.283,0,0,0.372,1277.9,1,0.1141,1
C000129,Mass,Yorkshire,45,3,5,-0.242,0,0.064,679.34,-0.095,4,0,0.586,215.66,1,0.1545,0
C000130,SME owner,North West,76,2,12,-0.176,1,0.168,1639.53,0.113,4,0,0.158,357.74,1,0.0871,0
C000131,Mass,Wales,44,1,9,-0.188,1,-0.305,292.68,0.087,4,2,0.056,349.4,0,0.5622,0
C000132,Mass,London,119,3,11,-0.001,0,-0.18,360.05,0.057,0,0,0.402,127.98,0,0.1545,0
C000133,SME owner,North West,42,1,7,0.29,0,-0.016,599.97,-0.122,0,0,0.113,112.97,1,0.2405,0
C000134,Mass,North West,60,2,10,0.023,0,-0.39,1810.75,0.365,4,1,0.05,680.18,1,0.4256,1
C000135,Mass,North West,16,3,3,0.316,1,-0.077,463.16,0.098,4,0,0.126,424.06,1,0.1091,0
C000136,Affluent,Yorkshire,10,1,9,-0.125,1,0.07,583.3,0.238,5,0,0.119,272.22,1,0.1751,1
C000137,Mass,Scotland,103,3,13,0.203,0,-0.014,1517.27,-0.321,1,0,0.066,412.9,1,0.2592,0
C000138,Mass,Scotland,119,3,10,-0.027,1,-0.044,2965.07,0.321,2,0,0.361,826.81,1,0.0871,0
C000139,Student,Wales,99,3,13,0.211,0,0.175,1977.71,0.138,1,0,0.008,91.23,0,0.1545,0
C000140,SME owner,Wales,19,2,6,-0.261,1,0.03,2283.24,0.2,6,0,0.129,297.57,0,0.1824,0
C000141,Mass,Wales,76,2,9,0.166,1,0.003,516.53,0.308,5,0,0.458,151.4,1,0.0871,0
C000142,Student,Scotland,19,2,13,0.004,0,0.061,1817.43,-0.047,6,0,0.292,225.43,1,0.19,1
C000143,Mass,Wales,14,3,14,0.044,1,-0.178,207.07,0.068,6,0,0.319,378.89,0,0.1091,0
C000144,Student,North West,31,2,7,0.019,0,-0.326,258.03,0.045,4,0,0.303,723.3,0,0.3318,0
C000145,Mass,West Midlands,29,3,14,-0.054,0,-0.167,559.38,0.432,2,0,0.033,135.89,0,0.19,0
C000146,SME owner,Scotland,100,4,11,0.465,0,-0.001,357.73,-0.276,0,0,0.236,94.38,0,0.1141,0
C000147,Mass,Wales,65,2,9,0.069,1,0.163,162.87,-0.091,8,0,0.039,396.65,1,0.0871,0
C000148,Young professional,London,72,4,8,0.11,1,0.196,454.41,-0.193,4,0,0.01,342.78,0,0.063,0
C000149,Young professional,Yorkshire,50,4,4,0.106,1,-0.13,269.29,-0.217,2,0,0.189,267.0,1,0.063,0
C000150,Mass,Wales,19,2,6,0.162,0,-0.147,2013.82,0.127,2,0,0.153,132.59,0,0.19,0
C000151,Mass,Yorkshire,97,3,8,-0.318,0,-0.503,593.46,0.083,0,0,0.265,774.2,0,0.4134,0
C000152,Affluent,Yorkshire,98,4,9,-0.164,1,-0.11,5456.14,-0.09,6,0,0.157,401.39,0,0.063,0
C000153,Mass,West Midlands,64,2,8,-0.11,0,0.015,421.14,0.247,0,0,0.363,192.54,0,0.1545,0
C000154,Young professional,London,83,1,4,-0.089,1,-0.056,495.7,-0.397,4,0,0.342,398.0,1,0.2405,0
C000155,Young professional,South East,100,5,7,-0.075,1,-0.141,4536.92,-0.19,4,0,0.18,970.39,0,0.063,0
C000156,Affluent,West Midlands,14,3,5,-0.364,1,-0.222,520.04,0.084,10,0,0.185,614.45,0,0.3208,0
C000157,Young professional,South East,108,1,9,0.11,1,0.06,745.41,0.04,4,0,0.215,418.93,0,0.1419,0
C000158,Student,Wales,3,1,17,-0.229,1,-0.111,658.35,-0.156,4,0,0.018,275.2,0,0.1751,1
C000159,SME owner,Yorkshire,89,2,7,-0.172,1,0.0,243.18,0.294,5,0,0.33,861.5,0,0.0871,0
C000160,Mass,North West,65,2,11,-0.077,1,0.097,6879.82,0.016,5,0,0.025,310.91,1,0.0871,0
C000161,Mass,West Midlands,77,4,8,0.13,0,-0.066,207.34,0.022,2,0,0.518,117.29,0,0.1141,0
C000162,Affluent,North West,38,5,11,0.044,1,-0.49,2253.47,0.317,4,0,0.242,114.5,0,0.1246,0
C000163,Mass,London,16,3,11,-0.189,1,-0.227,2502.31,-0.403,3,0,0.042,297.58,0,0.3318,1
C000164,Mass,Yorkshire,24,2,6,-0.18,1,-0.04,886.48,0.203,9,0,0.166,148.78,0,0.1091,0
C000165,Mass,Yorkshire,85,1,9,-0.379,0,-0.209,983.2,-0.064,3,1,0.043,250.07,0,0.7006,1
C000166,Mass,North West,51,1,16,-0.284,1,-0.207,291.7,0.008,2,0,0.12,219.98,0,0.3894,0
C000167,Mass,South East,114,4,4,-0.03,0,-0.079,498.52,-0.431,4,0,0.054,261.79,0,0.1978,0
C000168,Mass,Wales,84,3,12,-0.034,0,-0.458,56.33,0.128,3,0,0.144,251.3,0,0.2789,0
C000169,Mass,Yorkshire,52,5,10,-0.235,0,-0.463,235.59,-0.044,1,0,0.027,111.24,0,0.2142,1
C000170,Mass,West Midlands,115,2,7,-0.165,1,-0.232,271.29,0.012,3,0,0.167,108.88,0,0.168,0
C000171,Student,Wales,14,2,16,-0.236,0,-0.49,305.3,0.242,2,0,0.231,107.45,0,0.3318,1
C000172,Affluent,Scotland,46,1,7,-0.438,1,-0.111,2679.48,-0.232,3,0,0.154,331.8,0,0.2315,1
C000173,Young professional,North West,34,2,5,0.135,1,0.043,345.17,-0.145,4,0,0.223,311.36,1,0.1091,0
C000174,Mass,West Midlands,8,1,12,0.031,0,-0.21,1665.78,0.216,3,0,0.262,175.35,0,0.4626,0
C000175,Affluent,Wales,75,1,10,-0.056,1,0.196,4464.84,-0.245,2,0,0.053,586.31,1,0.1419,0
C000176,Affluent,Yorkshire,63,2,9,-0.087,1,0.182,947.17,0.005,4,0,0.319,745.55,1,0.0871,0
C000177,SME owner,West Midlands,78,1,9,0.024,1,-0.011,924.51,0.061,7,0,0.51,339.9,1,0.1419,0
C000178,Mass,North West,78,1,8,0.283,1,0.067,105.19,-0.319,5,1,0.252,457.7,0,0.3775,1
C000179,Mass,South East,55,2,9,-0.055,0,-0.409,389.18,-0.085,1,0,0.021,205.13,1,0.2789,0
C000180,Mass,North West,84,4,7,0.1,1,-0.271,484.63,0.133,0,0,0.06,197.99,1,0.1246,0
C000181,Student,South East,116,4,10,-0.447,1,-0.058,351.67,-0.298,5,0,0.232,158.69,1,0.1091,1
C000182,SME owner,London,47,2,4,0.049,1,-0.194,371.99,0.171,3,1,0.097,584.95,0,0.1545,0
C000183,Young professional,West Midlands,114,3,6,0.04,1,-0.215,440.09,0.204,5,0,0.299,1325.22,1,0.168,0
C000184,Student,South East,84,4,13,-0.216,0,-0.536,3170.53,0.348,1,0,0.205,285.9,0,0.2142,1
C000185,Young professional,Yorkshire,47,4,4,0.378,0,-0.056,428.05,-0.289,4,1,0.144,213.61,1,0.1978,0
C000186,Mass,South East,114,3,7,-0.246,1,-0.026,297.55,-0.037,6,0,0.173,217.85,1,0.0871,0
C000187,Student,Scotland,116,2,17,0.029,1,-0.189,293.57,0.061,4,0,0.261,174.17,0,0.0871,0
C000188,Mass,London,12,1,10,0.094,0,-0.482,1630.03,0.194,1,0,0.187,175.08,0,0.4626,1
C000189,Mass,South East,36,2,10,-0.231,1,-0.012,1093.33,-0.113,3,0,0.069,462.92,1,0.1091,0
C000190,Mass,North West,56,2,13,0.045,1,0.02,852.21,-0.443,6,0,0.091,178.31,1,0.1545,1
C000191,Affluent,West Midlands,41,1,8,-0.298,1,0.102,4680.31,-0.26,9,0,0.364,322.59,0,0.2315,0
C000192,Affluent,West Midlands,19,4,6,-0.259,1,-0.01,2181.54,0.36,5,0,0.177,587.28,0,0.1359,0
C000193,Mass,Wales,9,4,9,0.152,0,-0.009,526.04,0.047,1,0,0.152,178.09,0,0.1419,0
C000194,Mass,South East,13,1,6,0.089,1,0.08,1547.99,0.323,6,0,0.044,140.1,0,0.1751,1
C000195,Young professional,South East,54,2,9,-0.308,1,0.018,330.3,-0.15,8,1,0.238,345.22,0,0.2497,1
C000196,Mass,West Midlands,79,1,5,0.298,1,0.172,486.76,-0.089,6,0,0.02,1578.81,0,0.1419,0
C000197,Affluent,London,7,1,13,0.224,1,-0.089,4049.92,0.035,7,0,0.145,673.64,0,0.1751,0
C000198,Mass,Wales,114,3,7,-0.233,0,-0.613,1217.68,0.758,2,0,0.017,625.65,0,0.2789,1
C000199,Mass,London,57,2,3,0.067,1,-0.409,3773.85,0.019,3,0,0.327,190.15,0,0.168,0
C000200,Mass,West Midlands,97,4,8,-0.097,1,-0.32,2644.67,0.076,3,0,0.338,381.21,0,0.1246,0
C000201,SME owner,London,81,4,8,0.143,1,0.104,558.84,-0.012,4,0,0.509,550.94,0,0.063,0
C000202,Affluent,Wales,93,3,13,-0.16,0,-0.157,1996.62,-0.15,1,0,0.396,1232.54,0,0.1545,0
C000203,SME owner,South East,101,3,14,-0.067,0,0.046,649.3,-0.148,0,0,0.127,50.28,0,0.1545,1
C000204,Young professional,North West,95,2,9,0.257,0,-0.052,2803.26,0.046,5,0,0.183,206.12,1,0.1545,0
C000205,Student,London,30,1,16,-0.205,1,-0.378,1202.6,0.082,7,0,0.148,66.66,1,0.31,0
C000206,Mass,West Midlands,26,2,9,0.006,1,-0.019,579.44,-0.164,9,0,0.067,38.88,0,0.1091,1
C000207,SME owner,Yorkshire,18,2,10,-0.123,1,-0.001,466.15,0.497,5,0,0.244,171.07,0,0.1091,0
C000208,Student,Wales,19,4,7,-0.357,1,0.087,261.85,0.158,4,0,0.041,1222.67,0,0.1359,0
C000209,Mass,South East,12,2,10,-0.385,1,0.319,1986.81,0.247,4,0,0.33,144.41,1,0.1824,0
C000210,Mass,South East,48,2,7,0.2,1,-0.082,310.0,-0.225,4,0,0.043,828.62,1,0.0871,0
C000211,Young professional,South East,21,1,5,0.041,1,-0.232,569.52,0.162,9,0,0.341,258.23,0,0.31,1
C000212,Young professional,Yorkshire,94,2,9,-0.272,1,0.016,4182.38,0.266,7,0,0.274,1195.53,0,0.148,0
C000213,Young professional,North West,74,2,4,0.215,1,-0.227,627.86,0.088,7,0,0.217,275.49,1,0.168,0
C000214,Student,Wales,44,5,20,-0.333,1,-0.422,1682.92,-0.389,6,0,0.146,271.29,1,0.3318,0
C000215,Mass,Yorkshire,60,2,10,0.09,1,-0.024,241.81,0.211,5,0,0.206,165.05,0,0.0871,0
C000216,Mass,Scotland,101,3,10,0.11,0,-0.205,873.03,-0.372,1,0,0.286,239.01,1,0.4256,0
C000217,Mass,London,29,3,9,-0.229,1,-0.501,222.08,0.135,8,0,0.007,1431.0,0,0.2059,1
C000218,Affluent,Scotland,76,1,10,-0.151,1,0.182,1241.16,0.26,7,0,0.042,601.91,1,0.1419,0
C000219,Mass,London,42,1,11,-0.141,1,-0.22,492.44,-0.328,7,0,0.423,374.39,0,0.4013,0
C000220,Young professional,West Midlands,82,2,14,-0.134,1,-0.013,496.48,-0.114,4,0,0.363,688.15,0,0.0871,0
C000221,Mass,West Midlands,110,3,6,-0.199,1,0.179,872.9,-0.381,1,0,0.166,164.92,0,0.1545,0
C000222,Young professional,West Midlands,77,3,9,-0.246,1,-0.243,506.58,-0.465,7,1,0.06,144.59,0,0.4256,0
C000223,Student,North West,29,5,19,0.116,1,-0.54,2111.83,0.17,5,0,0.025,141.93,0,0.1545,0
C000224,Mass,Wales,25,2,12,0.22,1,0.343,216.78,-0.015,7,0,0.136,228.41,1,0.1091,0
C000225,Mass,London,101,1,2,0.273,1,-0.04,956.24,0.104,6,0,0.197,532.0,0,0.2689,1
C000226,Mass,London,25,3,6,-0.151,1,-0.2,214.75,0.386,8,0,0.017,1226.24,0,0.1091,0
C000227,Mass,North West,60,4,17,-0.235,1,-0.291,599.23,-0.074,6,0,0.059,421.36,0,0.1246,0
C000228,Mass,Scotland,75,3,5,-0.343,0,0.052,685.53,-0.254,0,0,0.008,471.15,0,0.2497,1
C000229,Mass,Scotland,101,3,9,-0.029,0,0.03,782.18,0.463,1,0,0.105,676.36,0,0.1545,0
C000230,Affluent,Yorkshire,51,3,6,0.211,1,0.264,2830.84,-0.086,2,0,0.172,19.36,0,0.0871,0
